x,y,theta
-1.2,0,0
-1.091100664,-0.013103071,-0.263443646
-0.9893706,-0.054112213,-0.526887293
-0.901829393,-0.120197711,-0.790330939
-0.834517571,-0.206799527,-1.053774585
-0.79207979,-0.307941954,-1.317218232
-0.777444345,-0.416645953,-1.580661878
-0.791612664,-0.525412871,-1.840263542
-0.807973399,-0.633870614,-1.576819896
-0.795526525,-0.742846901,-1.313376249
-0.78047355,-0.85149387,-1.576819896
-0.777880188,-0.961448522,-1.521915361
-0.759605702,-1.069615253,-1.273768053
-0.715208794,-1.169913925,-1.013484885
-0.668731556,-1.26926493,-1.276928531
-0.624646818,-1.36970044,-1.013484885
-0.555928947,-1.455190849,-0.750041238
-0.46731962,-1.51983714,-0.486597592
-0.431326368,-1.537253769,-0.390799903
-0.325726444,-1.567049226,-0.149412708
-0.216404561,-1.578995437,-0.074841466
-0.106524715,-1.583766269,-0.016594329
0.002644232,-1.572805148,0.221434668
0.107080048,-1.538739671,0.395257704
0.202537673,-1.484715624,0.65870135
0.280891475,-1.407913067,0.896473428
0.338649596,-1.314667396,1.159917074
0.370133182,-1.209598182,1.42336072
0.373169801,-1.099955423,1.686804367
0.37357992,-0.990271387,1.42336072
0.402538371,-0.884478363,1.159917074
0.454433194,-0.787612923,1.010794257
0.510366659,-0.692909584,1.061418702
0.571544734,-0.601623155,0.912274883
0.632077778,-0.50989133,1.052036966
0.695914367,-0.420532534,0.86122461
0.756922729,-0.329380268,1.124668257
0.814261923,-0.235729221,0.93011815
0.879169242,-0.146922088,0.947674851
0.952893597,-0.065627685,0.723478557
1.043188643,-0.003357624,0.46003491
1.35,0,0
